,image,dice_rc_0,dice_rc_1,dice_rc_2,dice_rs3_0,dice_rs3_1,dice_rs3_2,dice_rs5_0,dice_rs5_1,dice_rs5_2,dice_cp_0,dice_cp_1,dice_cp_2,dice_bb_0,dice_bb_1,dice_bb_2,dice_bbs_05_0,dice_bbs_05_1,dice_bbs_05_2,dice_bbs_1_0,dice_bbs_1_1,dice_bbs_1_2,dice_bbs_2_0,dice_bbs_2_1,dice_bbs_2_2
27,,[0.8493450880050659],[0.4094316065311432],[0.31590062379837036],[0.9168561697006226],[0.4208150804042816],[0.3162922263145447],[0.9041593074798584],[0.8706992268562317],[0.32279232144355774],[0.8489879965782166],[0.42716577649116516],[0.31598803400993347],[0.867752730846405],[0.8880975842475891],[0.9230062365531921],[0.873663067817688],[0.8963493704795837],[0.9320762157440186],[0.8660385012626648],[0.8871296644210815],[0.9086692929267883],[0.4511236846446991],[0.8434785604476929],[0.7550947070121765]
28,,[0.8786205649375916],[0.887509822845459],[0.5259503722190857],[0.882157027721405],[0.9127520322799683],[0.5787034034729004],[0.9047340154647827],[0.9394152760505676],[0.613794207572937],[0.8737621307373047],[0.8853021860122681],[0.5457096099853516],[0.8917512893676758],[0.8996759057044983],[0.8984977602958679],[0.8569137454032898],[0.8561742901802063],[0.8526904582977295],[0.8932372331619263],[0.8995441794395447],[0.9041615724563599],[0.04326755926012993],[0.8292936086654663],[0.7682170271873474]
29,,[0.8167672753334045],[0.5106316208839417],[0.5018181204795837],[0.8466799259185791],[0.5187230110168457],[0.5096265077590942],[0.9145625829696655],[0.6111921668052673],[0.5105825066566467],[0.8426070213317871],[0.5115151405334473],[0.48899877071380615],[0.9107568860054016],[0.9510519504547119],[0.9531307816505432],[0.9168661832809448],[0.9526801109313965],[0.9535090327262878],[0.7354857325553894],[0.9468607306480408],[0.9455550312995911],[0.5038930773735046],[0.8728843927383423],[0.8354783058166504]
30,,[0.8145172595977783],[0.6211662888526917],[0.4635840952396393],[0.7979064583778381],[0.5988151431083679],[0.4638102054595947],[0.8317673802375793],[0.656673789024353],[0.4653625786304474],[0.829338550567627],[0.6885018348693848],[0.46378853917121887],[0.8619504570960999],[0.8883365392684937],[0.9483159780502319],[0.8563464879989624],[0.8821115493774414],[0.913590133190155],[0.8302037119865417],[0.8717501163482666],[0.9251109957695007],[3.0559451261069626e-05],[0.7032024264335632],[0.5772178769111633]
31,,[0.8720470666885376],[0.5586205124855042],[0.477152943611145],[0.882524311542511],[0.5643342137336731],[0.4777640104293823],[0.869183361530304],[0.5776163339614868],[0.478985458612442],[0.8581441044807434],[0.574082612991333],[0.4772830307483673],[0.881037175655365],[0.89985591173172],[0.8953554630279541],[0.870014488697052],[0.8892034888267517],[0.8996673226356506],[0.8734129667282104],[0.8960795402526855],[0.8936853408813477],[0.5537378787994385],[0.7436211109161377],[0.715978741645813]
32,,[0.8290898203849792],[0.8380002975463867],[0.2949994206428528],[0.890438437461853],[0.9160556793212891],[0.29519787430763245],[0.8843045234680176],[0.9074116349220276],[0.2969493865966797],[0.8278264999389648],[0.8351694345474243],[0.2950260639190674],[0.8294707536697388],[0.8442591428756714],[0.9171843528747559],[0.8295080661773682],[0.844193160533905],[0.9212154150009155],[0.8285999894142151],[0.843986451625824],[0.8847873210906982],[0.36547720432281494],[0.7203291058540344],[0.4285634458065033]
33,,[0.8972523808479309],[0.8327803611755371],[0.35750699043273926],[0.9287992119789124],[0.5300787091255188],[0.3578163981437683],[0.9187341928482056],[0.8801613450050354],[0.3586023449897766],[0.904687762260437],[0.7201220393180847],[0.3575417697429657],[0.9245266318321228],[0.9464503526687622],[0.9631889462471008],[0.9187548160552979],[0.9401064515113831],[0.959235668182373],[0.942959725856781],[0.9486398696899414],[0.838095486164093],[0.9401354789733887],[0.9521965384483337],[0.8990883827209473]
34,,[0.5957767963409424],[0.9465276002883911],[0.5197263360023499],[0.9306656718254089],[0.9640252590179443],[0.5978828072547913],[0.9435471296310425],[0.9682474136352539],[0.65300452709198],[0.9553417563438416],[0.9493255615234375],[0.5386699438095093],[0.9594677686691284],[0.9711312651634216],[0.9058213233947754],[0.9555671811103821],[0.9711393713951111],[0.9148693084716797],[0.9479578733444214],[0.9638307094573975],[0.8893042802810669],[0.008460097014904022],[0.9247064590454102],[0.9015299081802368]
35,,[0.9616714715957642],[0.4937809109687805],[0.40989112854003906],[0.9594131112098694],[0.5931465029716492],[0.4119621515274048],[0.9554359912872314],[0.9026860594749451],[0.41914814710617065],[0.9614689946174622],[0.5217490196228027],[0.41011133790016174],[0.9581497311592102],[0.9717826843261719],[0.9650371670722961],[0.9545977115631104],[0.9699101448059082],[0.9665515422821045],[0.9536643624305725],[0.9599668383598328],[0.8611515164375305],[0.8856772780418396],[0.9510678648948669],[0.9513420462608337]
36,,[0.7805753946304321],[0.497651070356369],[0.3497290313243866],[0.8433708548545837],[0.49358686804771423],[0.3506995439529419],[0.8452690839767456],[0.5845991969108582],[0.4425565004348755],[0.7813703417778015],[0.4953402578830719],[0.349660724401474],[0.7848604321479797],[0.7982181310653687],[0.815899133682251],[0.7853275537490845],[0.8007708787918091],[0.8181381225585938],[0.7892754077911377],[0.8025857210159302],[0.820803701877594],[0.7860827445983887],[0.7865245938301086],[0.7885803580284119]
