,image,dice_rc_0,dice_rc_1,dice_rc_2,dice_rs3_0,dice_rs3_1,dice_rs3_2,dice_rs5_0,dice_rs5_1,dice_rs5_2,dice_cp_0,dice_cp_1,dice_cp_2,dice_bb_0,dice_bb_1,dice_bb_2,dice_bbs_05_0,dice_bbs_05_1,dice_bbs_05_2,dice_bbs_1_0,dice_bbs_1_1,dice_bbs_1_2,dice_bbs_2_0,dice_bbs_2_1,dice_bbs_2_2
22,,[0.9634621143341064],[0.9669772982597351],[0.6090537309646606],[0.80085688829422],[0.9671183228492737],[0.6296306848526001],[0.9656375050544739],[0.9679847955703735],[0.6711192727088928],[0.8450510501861572],[0.9683443903923035],[0.6083512306213379],[0.9599323868751526],[0.9649463891983032],[0.9664307832717896],[0.9627467393875122],[0.9654333591461182],[0.966336190700531],[0.9594481587409973],[0.965060830116272],[0.9668724536895752],[0.6055734157562256],[0.9064692258834839],[0.6727712154388428]
23,,[0.9571349620819092],[0.9681180119514465],[0.6895080804824829],[0.922066867351532],[0.9677303433418274],[0.7763039469718933],[0.9641857743263245],[0.9674493670463562],[0.7800052165985107],[0.9734897017478943],[0.8772772550582886],[0.7753663063049316],[0.9317939877510071],[0.9633042216300964],[0.9669076800346375],[0.9386575222015381],[0.964301347732544],[0.9667913317680359],[0.9490611553192139],[0.9581461548805237],[0.9669485092163086],[0.2989784777164459],[0.8404929637908936],[0.9000465273857117]
24,,[0.7765352725982666],[0.9416583776473999],[0.7688277363777161],[0.9415859580039978],[0.9413246512413025],[0.7215110063552856],[0.9229026436805725],[0.9421833753585815],[0.8089019060134888],[0.7412441372871399],[0.942498505115509],[0.7736596465110779],[0.9479930996894836],[0.9509157538414001],[0.9509019255638123],[0.9030733704566956],[0.9525313973426819],[0.9528797268867493],[0.7179126143455505],[0.7079482674598694],[0.8185523152351379],[0.8435980677604675],[0.7200330495834351],[0.8760498762130737]
25,,[0.9541473984718323],[0.9633809328079224],[0.708020031452179],[0.9592676758766174],[0.966675877571106],[0.7323843836784363],[0.9603495001792908],[0.9670907258987427],[0.7714687585830688],[0.965830385684967],[0.9648513793945312],[0.7162073850631714],[0.7255204319953918],[0.961419939994812],[0.9405038952827454],[0.38574424386024475],[0.9616003632545471],[0.9674997925758362],[0.5889747142791748],[0.9601680636405945],[0.9659983515739441],[0.3084442913532257],[0.8679332137107849],[0.8888309597969055]
26,,[0.963067889213562],[0.9542197585105896],[0.5846819877624512],[0.9257065653800964],[0.9486476182937622],[0.5756779313087463],[0.9253194332122803],[0.9429775476455688],[0.8876811861991882],[0.7818060517311096],[0.9534482955932617],[0.6313784718513489],[0.9594713449478149],[0.9500405192375183],[0.9270838499069214],[0.9600788354873657],[0.9502427577972412],[0.9263544678688049],[0.8147017955780029],[0.9516760110855103],[0.9507741332054138],[0.8425009846687317],[0.8607582449913025],[0.8335928916931152]
27,,[0.7219203114509583],[0.9374172687530518],[0.7349995970726013],[0.9479631781578064],[0.8033228516578674],[0.7842519879341125],[0.9652082324028015],[0.8090658187866211],[0.7831608653068542],[0.8205485343933105],[0.7519755959510803],[0.6056079864501953],[0.9447600245475769],[0.9667747020721436],[0.9735127687454224],[0.9210200905799866],[0.970420777797699],[0.9735907912254333],[0.9542558789253235],[0.9495731592178345],[0.9675362706184387],[0.9322541952133179],[0.9627367258071899],[0.9732515215873718]
28,,[0.9599102735519409],[0.9706082344055176],[0.75899738073349],[0.9213564991950989],[0.9695424437522888],[0.7636657953262329],[0.9720034599304199],[0.9694018363952637],[0.769306480884552],[0.8755677342414856],[0.9705634713172913],[0.7570037841796875],[0.887004017829895],[0.9717804193496704],[0.8681098818778992],[0.8921697735786438],[0.9668675065040588],[0.9376484155654907],[0.558351993560791],[0.9423848390579224],[0.9499825835227966],[0.47643089294433594],[0.5565012693405151],[0.8573676347732544]
29,,[0.9606510996818542],[0.8395794630050659],[0.595494270324707],[0.9611517190933228],[0.8409247994422913],[0.5930266976356506],[0.9484326243400574],[0.8604217171669006],[0.6034009456634521],[0.8571638464927673],[0.8405759334564209],[0.595694899559021],[0.9196433424949646],[0.9647266268730164],[0.9583154320716858],[0.9686432480812073],[0.950261116027832],[0.8365803956985474],[0.9394044876098633],[0.9672737717628479],[0.9625521898269653],[0.34100496768951416],[0.9668391942977905],[0.5921584367752075]
30,,[0.9381003379821777],[0.9592702984809875],[0.6192596554756165],[0.9370793104171753],[0.9574459791183472],[0.639962375164032],[0.937573254108429],[0.9566495418548584],[0.6840623021125793],[0.7936174869537354],[0.9579289555549622],[0.6062226295471191],[0.9618901014328003],[0.9565728902816772],[0.9387338757514954],[0.8662039041519165],[0.9580413103103638],[0.9430750608444214],[0.7547255754470825],[0.7058337926864624],[0.9260502457618713],[0.7029734253883362],[0.003657175926491618],[0.16899393498897552]
31,,[0.7484673261642456],[0.8542711138725281],[0.61740642786026],[0.9209776520729065],[0.832190215587616],[0.6187348365783691],[0.9262803792953491],[0.9417884349822998],[0.636028528213501],[0.8764140009880066],[0.8148081302642822],[0.617421567440033],[0.9253405928611755],[0.9415185451507568],[0.9430399537086487],[0.9134131669998169],[0.9359099268913269],[0.9434316754341125],[0.8451059460639954],[0.9137013554573059],[0.9260961413383484],[0.834898054599762],[0.8207679986953735],[0.5291428565979004]
