,image,dice_rc_0,dice_rc_1,dice_rc_2,dice_rs3_0,dice_rs3_1,dice_rs3_2,dice_rs5_0,dice_rs5_1,dice_rs5_2,dice_cp_0,dice_cp_1,dice_cp_2,dice_bb_0,dice_bb_1,dice_bb_2,dice_bbs_05_0,dice_bbs_05_1,dice_bbs_05_2,dice_bbs_1_0,dice_bbs_1_1,dice_bbs_1_2,dice_bbs_2_0,dice_bbs_2_1,dice_bbs_2_2
13,,[0.2539389729499817],[0.7746808528900146],[0.9071791768074036],[0.2537715435028076],[0.7699511051177979],[0.9008301496505737],[0.4254196882247925],[0.7655099630355835],[0.8915143609046936],[0.25456759333610535],[0.7715014219284058],[0.9092312455177307],[0.931647777557373],[0.9312570691108704],[0.9255984425544739],[0.9286394119262695],[0.9287170171737671],[0.9266266822814941],[0.9314879775047302],[0.9294740557670593],[0.9244883060455322],[0.8189696073532104],[0.8121126890182495],[0.8345084190368652]
14,,[0.03001798875629902],[0.9233880043029785],[0.9037753343582153],[0.02993088774383068],[0.9265232682228088],[0.8972697854042053],[0.029450099915266037],[0.9264903664588928],[0.8977798223495483],[0.03013094887137413],[0.9231460690498352],[0.8938443660736084],[0.9277889728546143],[0.9189311861991882],[0.9002309441566467],[0.9287787675857544],[0.9194934368133545],[0.9080486297607422],[0.92806077003479],[0.9194934368133545],[0.9045318365097046],[0.9266219139099121],[0.9166855812072754],[0.897174596786499]
15,,[0.023113561794161797],[0.8981100916862488],[0.6642743349075317],[0.023714318871498108],[0.9034643173217773],[0.8620922565460205],[0.030127085745334625],[0.9112837314605713],[0.875987708568573],[0.0252529364079237],[0.9025324583053589],[0.6137493252754211],[0.9153822064399719],[0.8844948410987854],[0.8714747428894043],[0.9037455320358276],[0.8778634071350098],[0.8776165843009949],[0.9143515825271606],[0.8853558301925659],[0.8706145286560059],[0.883922278881073],[0.8729364275932312],[0.6214971542358398]
16,,[0.0738782212138176],[0.9568965435028076],[0.9454021453857422],[0.0745844617486],[0.9576943516731262],[0.9467291235923767],[0.15086430311203003],[0.9586272835731506],[0.9461504817008972],[0.07397282868623734],[0.9579848051071167],[0.9480323195457458],[0.9606559872627258],[0.9540360569953918],[0.9417766332626343],[0.9611697196960449],[0.9541990160942078],[0.9417475461959839],[0.9495749473571777],[0.9216939806938171],[0.8731659054756165],[0.9593191742897034],[0.9537426829338074],[0.9387685060501099]
17,,[0.09684955328702927],[0.0973406583070755],[0.17666730284690857],[0.09689230471849442],[0.10057663172483444],[0.17476709187030792],[0.09717884659767151],[0.10220463573932648],[0.2086220234632492],[0.09685809910297394],[0.09893898665904999],[0.24168215692043304],[0.8506607413291931],[0.32538026571273804],[0.11869386583566666],[0.8174372315406799],[0.41481173038482666],[0.11824566125869751],[0.7881885766983032],[0.5780044794082642],[0.10996679216623306],[0.6787874102592468],[0.4980679154396057],[0.10059596598148346]
18,,[0.030941136181354523],[0.8665980100631714],[0.7661017179489136],[0.8256677389144897],[0.8893632888793945],[0.7689276933670044],[0.8318383097648621],[0.8873805999755859],[0.7762863636016846],[0.041897159069776535],[0.8838970065116882],[0.7754930853843689],[0.8939469456672668],[0.8549081087112427],[0.8070462942123413],[0.8926073908805847],[0.8568831086158752],[0.8154576420783997],[0.8796037435531616],[0.8431191444396973],[0.7918683290481567],[0.8843520283699036],[0.8392572999000549],[0.1982278972864151]
19,,[0.024367986246943474],[0.02438262291252613],[0.06133361905813217],[0.024391163140535355],[0.024429399520158768],[0.054105423390865326],[0.024393651634454727],[0.02447766438126564],[0.06611990183591843],[0.02436593733727932],[0.024380676448345184],[0.05771918594837189],[0.9114583134651184],[0.8716593980789185],[0.7444089651107788],[0.9013373255729675],[0.8687179684638977],[0.7179665565490723],[0.8819648027420044],[0.8839347958564758],[0.7421883940696716],[0.7692583799362183],[0.7607256174087524],[0.7281575202941895]
20,,[0.04727086424827576],[0.8780184984207153],[0.7269824743270874],[0.0442671999335289],[0.8845933675765991],[0.8691191077232361],[0.049374110996723175],[0.8837018609046936],[0.8633829355239868],[0.04571060463786125],[0.8834003210067749],[0.8680804967880249],[0.8956881165504456],[0.8794349431991577],[0.8668978810310364],[0.8955950140953064],[0.8790645599365234],[0.8670399188995361],[0.8944169282913208],[0.8820648193359375],[0.8706803321838379],[0.8959540128707886],[0.8792498111724854],[0.8668978810310364]
21,,[0.03362048789858818],[0.8298054933547974],[0.8859578371047974],[0.03403479978442192],[0.826893150806427],[0.8901715278625488],[0.050229866057634354],[0.8274932503700256],[0.884091854095459],[0.03372858464717865],[0.8305072784423828],[0.8861736059188843],[0.9004577398300171],[0.8950425982475281],[0.881015956401825],[0.8832333087921143],[0.898726224899292],[0.8852353096008301],[0.9072375297546387],[0.8925461173057556],[0.8792991638183594],[0.8297187089920044],[0.8623659014701843],[0.8909032344818115]
22,,[0.0230797678232193],[0.023491080850362778],[0.3476448059082031],[0.023103073239326477],[0.024803124368190765],[0.30468857288360596],[0.02314888685941696],[0.040789179503917694],[0.7191197276115417],[0.02308007888495922],[0.023234402760863304],[0.3668229281902313],[0.877663791179657],[0.8915638327598572],[0.8932638168334961],[0.8834429383277893],[0.896402895450592],[0.8866994976997375],[0.8709166646003723],[0.8798608183860779],[0.8693015575408936],[0.7883118987083435],[0.8235294222831726],[0.8379752039909363]
