,image,dice_rc_0,dice_rc_1,dice_rc_2,dice_rs3_0,dice_rs3_1,dice_rs3_2,dice_rs5_0,dice_rs5_1,dice_rs5_2,dice_cp_0,dice_cp_1,dice_cp_2,dice_bb_0,dice_bb_1,dice_bb_2,dice_bbs_05_0,dice_bbs_05_1,dice_bbs_05_2,dice_bbs_1_0,dice_bbs_1_1,dice_bbs_1_2,dice_bbs_2_0,dice_bbs_2_1,dice_bbs_2_2
22,,[0.6097174882888794],[0.9132725596427917],[0.4619530439376831],[0.614652693271637],[0.9007682204246521],[0.4626389145851135],[0.5980274677276611],[0.8702011108398438],[0.46448618173599243],[0.6139655709266663],[0.9008848071098328],[0.4620068669319153],[0.9466329216957092],[0.9322019219398499],[0.9485235810279846],[0.9444876313209534],[0.9359622001647949],[0.9452120065689087],[0.9474927186965942],[0.9332024455070496],[0.945239782333374],[0.8618038892745972],[0.9258930087089539],[0.9297505617141724]
23,,[0.6006356477737427],[0.8633623123168945],[0.4303583800792694],[0.5993571281433105],[0.8170035481452942],[0.43051522970199585],[0.6047512292861938],[0.8343333005905151],[0.43277648091316223],[0.6090598106384277],[0.8778307437896729],[0.4304143488407135],[0.9439430236816406],[0.9605395197868347],[0.9539178013801575],[0.939662754535675],[0.9557843208312988],[0.9488656520843506],[0.9373418092727661],[0.9504369497299194],[0.9485576748847961],[0.88303142786026],[0.5254323482513428],[0.7861020565032959]
24,,[0.9428872466087341],[0.9356570839881897],[0.390473335981369],[0.9438872933387756],[0.9263262152671814],[0.39092597365379333],[0.948926568031311],[0.9435113668441772],[0.3916078507900238],[0.9445881843566895],[0.9074527621269226],[0.3906184136867523],[0.9488897919654846],[0.933940589427948],[0.9439254999160767],[0.9489706754684448],[0.9345784783363342],[0.9440330862998962],[0.9471388459205627],[0.9337853193283081],[0.9434168338775635],[0.8184664249420166],[0.8716356754302979],[0.8980916738510132]
25,,[0.5179404020309448],[0.8980154395103455],[0.413143128156662],[0.5220098495483398],[0.9212243556976318],[0.4224136471748352],[0.4719489812850952],[0.8350494503974915],[0.4280691146850586],[0.723166823387146],[0.9047957062721252],[0.4177171289920807],[0.910045862197876],[0.9267715811729431],[0.9472418427467346],[0.9036774039268494],[0.9211986064910889],[0.943294882774353],[0.9139567613601685],[0.9184467196464539],[0.9424710869789124],[0.8512124419212341],[0.9125334024429321],[0.9335485100746155]
26,,[0.9331809282302856],[0.8714355826377869],[0.546330451965332],[0.7567922472953796],[0.9073939323425293],[0.5471610426902771],[0.7870209813117981],[0.9098284244537354],[0.550150454044342],[0.938079297542572],[0.8708638548851013],[0.5463324189186096],[0.9251508712768555],[0.8902305364608765],[0.9108462929725647],[0.7928926348686218],[0.894208550453186],[0.907342791557312],[0.920802652835846],[0.5411955714225769],[0.8491486310958862],[0.9111089110374451],[0.9042328596115112],[0.9255337119102478]
27,,[0.6101903319358826],[0.8500845432281494],[0.3159532845020294],[0.5196986198425293],[0.8463090658187866],[0.31629645824432373],[0.666924238204956],[0.8939791321754456],[0.31752362847328186],[0.6807554960250854],[0.8078027367591858],[0.31604525446891785],[0.9397512078285217],[0.8623933792114258],[0.9228816032409668],[0.9457001090049744],[0.8474583029747009],[0.9147676229476929],[0.9232301115989685],[0.8328224420547485],[0.9154446125030518],[0.8533486127853394],[0.7320916056632996],[0.8164028525352478]
28,,[0.9281051754951477],[0.8902083039283752],[0.5349026918411255],[0.882110595703125],[0.9483317136764526],[0.5468245148658752],[0.8290767073631287],[0.8993543386459351],[0.5895352959632874],[0.9487740993499756],[0.8877972960472107],[0.5541039109230042],[0.9110365509986877],[0.8900083303451538],[0.9034919142723083],[0.9099223613739014],[0.8949475884437561],[0.9028709530830383],[0.8837535977363586],[0.898017168045044],[0.9353156685829163],[0.6027647256851196],[0.7299395799636841],[0.6491504907608032]
29,,[0.6945613622665405],[0.8792287111282349],[0.5106982588768005],[0.6377926468849182],[0.823256254196167],[0.5108779072761536],[0.6487654447555542],[0.8563686609268188],[0.5121288299560547],[0.7235469222068787],[0.8546242713928223],[0.5109621286392212],[0.9309570789337158],[0.9080072045326233],[0.9530231952667236],[0.9507796168327332],[0.9038947224617004],[0.9533179998397827],[0.9348827600479126],[0.9162960648536682],[0.9577633738517761],[0.9266223907470703],[0.8950052261352539],[0.9270346164703369]
30,,[0.7572878003120422],[0.8572075963020325],[0.4641944468021393],[0.7414191961288452],[0.8797088861465454],[0.4640711545944214],[0.5656679272651672],[0.7687551975250244],[0.4649001657962799],[0.7867904305458069],[0.8158353567123413],[0.4642588198184967],[0.921150267124176],[0.8813939094543457],[0.8992484211921692],[0.9083929061889648],[0.874604344367981],[0.8959656953811646],[0.9109948873519897],[0.8609508275985718],[0.8950801491737366],[0.8791745901107788],[0.8200812339782715],[0.8552367687225342]
31,,[0.6982513070106506],[0.8674147129058838],[0.4773072302341461],[0.6442162394523621],[0.8872827291488647],[0.47782450914382935],[0.6658619046211243],[0.8845661878585815],[0.47904977202415466],[0.8229507207870483],[0.8538979887962341],[0.47750982642173767],[0.9007622003555298],[0.8770365715026855],[0.8932071328163147],[0.8985404968261719],[0.870957612991333],[0.8902931809425354],[0.8957327604293823],[0.8602429628372192],[0.8877796530723572],[0.7309383749961853],[0.5101266503334045],[0.809661865234375]
