,image,dice_rc_0,dice_rc_1,dice_rc_2,dice_rs3_0,dice_rs3_1,dice_rs3_2,dice_rs5_0,dice_rs5_1,dice_rs5_2,dice_cp_0,dice_cp_1,dice_cp_2,dice_bb_0,dice_bb_1,dice_bb_2,dice_bbs_05_0,dice_bbs_05_1,dice_bbs_05_2,dice_bbs_1_0,dice_bbs_1_1,dice_bbs_1_2,dice_bbs_2_0,dice_bbs_2_1,dice_bbs_2_2
11,,[0.37336254119873047],[0.6431248188018799],[0.8496875762939453],[0.3745209872722626],[0.472577840089798],[0.9511501789093018],[0.37690985202789307],[0.5536208748817444],[0.9594093561172485],[0.3736404478549957],[0.5319693088531494],[0.9339975118637085],[0.9701768159866333],[0.9633599519729614],[0.9043462872505188],[0.9734154939651489],[0.9637320637702942],[0.9188741445541382],[0.9045404195785522],[0.9425429105758667],[0.923457682132721],[0.7725403904914856],[0.8076807260513306],[0.8136407732963562]
12,,[0.355202853679657],[0.358111172914505],[0.7858939170837402],[0.3555113673210144],[0.35501983761787415],[0.8671693801879883],[0.3558546006679535],[0.3723122179508209],[0.9428802132606506],[0.35539737343788147],[0.3545205593109131],[0.7427797317504883],[0.9257020950317383],[0.8801664710044861],[0.8246117234230042],[0.9158633947372437],[0.8846949934959412],[0.8129745125770569],[0.8606609106063843],[0.8259857892990112],[0.8094630837440491],[0.9184891581535339],[0.8033181428909302],[0.46810099482536316]
13,,[0.4854944348335266],[0.6539475321769714],[0.9451000094413757],[0.485696405172348],[0.6456319689750671],[0.960179328918457],[0.48625320196151733],[0.6592787504196167],[0.9573820233345032],[0.48526865243911743],[0.6564487814903259],[0.946365475654602],[0.9752307534217834],[0.9534157514572144],[0.8943813443183899],[0.9707595109939575],[0.9445203542709351],[0.8806173801422119],[0.9710901379585266],[0.9477424025535583],[0.8931485414505005],[0.9090139269828796],[0.9382004737854004],[0.2358326017856598]
14,,[0.863551676273346],[0.7654612064361572],[0.027780983597040176],[0.48928290605545044],[0.7103785276412964],[0.9313598871231079],[0.48988375067710876],[0.6642003059387207],[0.9462413787841797],[0.488993376493454],[0.6870537996292114],[0.9089365601539612],[0.9659713506698608],[0.9240172505378723],[0.8718894720077515],[0.9648826718330383],[0.9115703701972961],[0.848796010017395],[0.9684819579124451],[0.9229641556739807],[0.8538327813148499],[0.9104873538017273],[0.8387038111686707],[0.5686679482460022]
15,,[0.4903593957424164],[0.6937498450279236],[0.9491022229194641],[0.4912301003932953],[0.7110454440116882],[0.9398125410079956],[0.4912247061729431],[0.6923723816871643],[0.9364476203918457],[0.49077755212783813],[0.7039216756820679],[0.9301601648330688],[0.9720635414123535],[0.9566606879234314],[0.8918790817260742],[0.970980703830719],[0.92982417345047],[0.8481759428977966],[0.9508906006813049],[0.9152464270591736],[0.14494839310646057],[0.9058547019958496],[0.8578332662582397],[0.6190271973609924]
16,,[0.49324774742126465],[0.6824517250061035],[0.9629747867584229],[0.496180921792984],[0.9462996125221252],[0.14428341388702393],[0.4943699836730957],[0.7101595997810364],[0.7599689960479736],[0.49395424127578735],[0.7001104354858398],[0.924490213394165],[0.9683284163475037],[0.9474899172782898],[0.8754931092262268],[0.9464027881622314],[0.9576787352561951],[0.9079893827438354],[0.9628854393959045],[0.9085678458213806],[0.7983594536781311],[0.9178977012634277],[0.8585631847381592],[0.7912482023239136]
17,,[0.5086153149604797],[0.5124608874320984],[0.8492119908332825],[0.508919894695282],[0.5268235206604004],[0.8515086770057678],[0.5089893341064453],[0.8561702966690063],[0.8320346474647522],[0.50855952501297],[0.7118844985961914],[0.8451496958732605],[0.8852068185806274],[0.8846675157546997],[0.912999153137207],[0.897543728351593],[0.9359273910522461],[0.8669413924217224],[0.863742470741272],[0.8531572818756104],[0.8125478029251099],[0.8659396171569824],[0.8839821219444275],[0.8068085312843323]
18,,[0.3115733861923218],[0.31143563985824585],[0.8009885549545288],[0.3123612701892853],[0.31205931305885315],[0.8282567858695984],[0.31226852536201477],[0.31107690930366516],[0.8460952043533325],[0.31152209639549255],[0.3111410140991211],[0.004184558056294918],[0.7734242081642151],[0.8432998061180115],[0.8422579765319824],[0.8519225716590881],[0.9343290328979492],[0.3730965554714203],[0.904233992099762],[0.8954362273216248],[0.09666554629802704],[0.8186886310577393],[0.9147143363952637],[0.024815598502755165]
19,,[0.3289630711078644],[0.3287045955657959],[0.7416468262672424],[0.3294447064399719],[0.3296810984611511],[0.7510271072387695],[0.3294232487678528],[0.32938647270202637],[0.751220703125],[0.32743579149246216],[0.3290609121322632],[0.006986849009990692],[0.8337005972862244],[0.8959568738937378],[0.7140219807624817],[0.8937638401985168],[0.932191014289856],[0.7335977554321289],[0.7683043479919434],[0.8487420082092285],[0.7377427220344543],[0.9054446220397949],[0.9206339120864868],[0.2960257828235626]
20,,[0.2889324426651001],[0.6004025936126709],[0.8379840850830078],[0.28977352380752563],[0.598386287689209],[0.6839682459831238],[0.29169991612434387],[0.5876638889312744],[0.6212401390075684],[0.2888292372226715],[0.15437956154346466],[0.0035955493804067373],[0.883945643901825],[0.9449426531791687],[0.8560203909873962],[0.8891862034797668],[0.9354278445243835],[0.7174449563026428],[0.9134668707847595],[0.9419284462928772],[0.15966586768627167],[0.7880238890647888],[0.9294217824935913],[0.03104184940457344]
