,image,dice_rc_0,dice_rc_1,dice_rc_2,dice_rs3_0,dice_rs3_1,dice_rs3_2,dice_rs5_0,dice_rs5_1,dice_rs5_2,dice_cp_0,dice_cp_1,dice_cp_2,dice_bb_0,dice_bb_1,dice_bb_2,dice_bbs_05_0,dice_bbs_05_1,dice_bbs_05_2,dice_bbs_1_0,dice_bbs_1_1,dice_bbs_1_2,dice_bbs_2_0,dice_bbs_2_1,dice_bbs_2_2
32,,[0.9719107151031494],[0.8715804219245911],[0.576706051826477],[0.9160758852958679],[0.9382057189941406],[0.5768056511878967],[0.8963991403579712],[0.9305071830749512],[0.5810992121696472],[0.9702122211456299],[0.7993236184120178],[0.5769441723823547],[0.9716597199440002],[0.9325742125511169],[0.9549109935760498],[0.9718595743179321],[0.9089738130569458],[0.9675388932228088],[0.9357411861419678],[0.8509787321090698],[0.9141120910644531],[0.8546987771987915],[0.8379108905792236],[0.5063776969909668]
33,,[0.9668139219284058],[0.7098891139030457],[0.8061935901641846],[0.9641026258468628],[0.9591463208198547],[0.8037952184677124],[0.9632059931755066],[0.9606113433837891],[0.9148046374320984],[0.8755649924278259],[0.7691521048545837],[0.8038355112075806],[0.9656850695610046],[0.9521686434745789],[0.965925931930542],[0.9653122425079346],[0.9538062810897827],[0.9659077525138855],[0.964535653591156],[0.8866609334945679],[0.9640340209007263],[0.9656634330749512],[0.9519171714782715],[0.4657846987247467]
34,,[0.9564614295959473],[0.32027754187583923],[0.8050052523612976],[0.9549881219863892],[0.9535537362098694],[0.8029822707176208],[0.9557788372039795],[0.9538966417312622],[0.8117877840995789],[0.955422580242157],[0.890245795249939],[0.7792429327964783],[0.9570767879486084],[0.9339927434921265],[0.9539667367935181],[0.9570067524909973],[0.9162176251411438],[0.9461868405342102],[0.9561645984649658],[0.7844316959381104],[0.9258707165718079],[0.8515920639038086],[0.358253538608551],[0.6413143277168274]
35,,[0.9722103476524353],[0.9629052877426147],[0.7659672498703003],[0.9722037315368652],[0.9660099744796753],[0.7362332344055176],[0.9725248217582703],[0.9677610993385315],[0.7786518931388855],[0.9713946580886841],[0.825170636177063],[0.7698693871498108],[0.9691632390022278],[0.9624044895172119],[0.9658267498016357],[0.9693174362182617],[0.9493961930274963],[0.9651637673377991],[0.9478258490562439],[0.9035109877586365],[0.9189115166664124],[0.8374201655387878],[0.24544885754585266],[0.5701494216918945]
36,,[0.9455462694168091],[0.9590618014335632],[0.5889734625816345],[0.9470970034599304],[0.961669385433197],[0.5899094939231873],[0.9447071552276611],[0.964430034160614],[0.5942322611808777],[0.9433913230895996],[0.7703704833984375],[0.5885600447654724],[0.9629720449447632],[0.922677755355835],[0.962073564529419],[0.9617539644241333],[0.9208482503890991],[0.9625204801559448],[0.9175023436546326],[0.9028680920600891],[0.9067966341972351],[0.9172332882881165],[0.9020407199859619],[0.3280872702598572]
37,,[0.8647750020027161],[0.8831741213798523],[0.6090863347053528],[0.8804214000701904],[0.9267467856407166],[0.6203987002372742],[0.8827565312385559],[0.9271854758262634],[0.7614585161209106],[0.878848671913147],[0.881600558757782],[0.6103096604347229],[0.9450117349624634],[0.8914327621459961],[0.8862990140914917],[0.951575517654419],[0.877502977848053],[0.8885525465011597],[0.8904921412467957],[0.8516547679901123],[0.8623676896095276],[0.9357355833053589],[0.9067701697349548],[0.94837886095047]
38,,[0.9606599807739258],[0.9535337090492249],[0.6743720173835754],[0.8009986281394958],[0.9642669558525085],[0.6696375012397766],[0.8623780608177185],[0.9591993093490601],[0.6775534749031067],[0.9646536707878113],[0.8222821354866028],[0.6779117584228516],[0.9541500210762024],[0.9550003409385681],[0.9607992172241211],[0.9617111682891846],[0.9469170570373535],[0.9562737941741943],[0.9485915303230286],[0.9535272121429443],[0.9583824276924133],[0.8173493146896362],[0.0493299663066864],[0.22089429199695587]
39,,[0.9576864838600159],[0.7986574172973633],[0.6949414014816284],[0.946280837059021],[0.9377039074897766],[0.5491681098937988],[0.9553337693214417],[0.9407713413238525],[0.6126242280006409],[0.955107569694519],[0.7469700574874878],[0.5641920566558838],[0.9340488314628601],[0.9215971827507019],[0.9476583003997803],[0.8714613914489746],[0.9260702133178711],[0.8538091778755188],[0.9472681879997253],[0.9305485486984253],[0.8817319273948669],[0.8432409167289734],[0.8224887847900391],[0.6884905099868774]
40,,[0.971315324306488],[0.932892918586731],[0.5888924598693848],[0.9702791571617126],[0.9445293545722961],[0.6317285299301147],[0.9701196551322937],[0.9363564252853394],[0.7299984693527222],[0.9710838198661804],[0.8105043768882751],[0.5894811749458313],[0.9481079578399658],[0.9529171586036682],[0.9630310535430908],[0.9707096815109253],[0.9465230107307434],[0.9605069756507874],[0.882769763469696],[0.904124915599823],[0.700035572052002],[0.9146851897239685],[0.8905932307243347],[0.8893680572509766]
41,,[0.9670082330703735],[0.8290009498596191],[0.7324449419975281],[0.9554036259651184],[0.9000224471092224],[0.6912831664085388],[0.9647824168205261],[0.8394600749015808],[0.8047612309455872],[0.9530240297317505],[0.7555047273635864],[0.6552960276603699],[0.9157165288925171],[0.9490598440170288],[0.9029439687728882],[0.9130058288574219],[0.9551544189453125],[0.900193452835083],[0.8783065676689148],[0.7972303628921509],[0.6268683075904846],[0.7128199934959412],[0.5217815041542053],[0.27964574098587036]
