,image,dice_rc_0,dice_rc_1,dice_rc_2,dice_rs3_0,dice_rs3_1,dice_rs3_2,dice_rs5_0,dice_rs5_1,dice_rs5_2,dice_cp_0,dice_cp_1,dice_cp_2,dice_bb_0,dice_bb_1,dice_bb_2,dice_bbs_05_0,dice_bbs_05_1,dice_bbs_05_2,dice_bbs_1_0,dice_bbs_1_1,dice_bbs_1_2,dice_bbs_2_0,dice_bbs_2_1,dice_bbs_2_2
2636,,[0.6530646085739136],[0.6285650730133057],[0.22707320749759674],[0.2725988030433655],[0.7007147669792175],[0.2145225554704666],[0.26390913128852844],[0.6928486227989197],[0.218336820602417],[0.6528337597846985],[0.6282026767730713],[0.22369714081287384],[0.7190608382225037],[0.6499717831611633],[0.6773312091827393],[0.7251890301704407],[0.649781346321106],[0.6772217750549316],[0.7360222339630127],[0.6549575328826904],[0.6809842586517334],[0.6945484280586243],[0.6080760955810547],[0.6567553281784058]
2637,,[0.13601529598236084],[0.09313380718231201],[0.9187122583389282],[0.8967186808586121],[0.8851617574691772],[0.39964309334754944],[0.9158123135566711],[0.8934906721115112],[0.3914780914783478],[0.1183709129691124],[0.0701511800289154],[0.9137713313102722],[0.9154189825057983],[0.9093292355537415],[0.9109284281730652],[0.9156184792518616],[0.907572865486145],[0.9109773635864258],[0.9167491793632507],[0.8998057842254639],[0.9067773818969727],[0.9145671129226685],[0.9083778262138367],[0.9084604978561401]
2638,,[0.13210389018058777],[0.4693702161312103],[0.06739538162946701],[0.131334587931633],[0.5184310078620911],[0.08873885124921799],[0.13125135004520416],[0.5253735184669495],[0.12573622167110443],[0.13218091428279877],[0.4864160120487213],[0.0728355273604393],[0.8938167691230774],[0.6361818313598633],[0.8162834644317627],[0.8726007342338562],[0.6370999813079834],[0.8018373250961304],[0.8762285709381104],[0.555013120174408],[0.8056406378746033],[0.7566116452217102],[0.6472655534744263],[0.7781252861022949]
2639,,[0.75927734375],[0.6999449133872986],[0.13100861012935638],[0.7648990750312805],[0.7205025553703308],[0.1316971331834793],[0.7594817280769348],[0.7162613868713379],[0.13147027790546417],[0.7483848929405212],[0.6834004521369934],[0.1314723938703537],[0.7730350494384766],[0.7079463005065918],[0.746584951877594],[0.7731432318687439],[0.7075598239898682],[0.7465983629226685],[0.7681733965873718],[0.6945830583572388],[0.7345222234725952],[0.6656427979469299],[0.5787867307662964],[0.6485016345977783]
2640,,[0.8249272108078003],[0.013807457871735096],[0.11293388903141022],[0.3391112983226776],[0.8301388621330261],[0.1117861196398735],[0.8486015796661377],[0.8266173005104065],[0.11075510829687119],[0.8241286277770996],[0.7859777212142944],[0.11054406315088272],[0.845707356929779],[0.7958300113677979],[0.8199995160102844],[0.8459730744361877],[0.7957503795623779],[0.8201544880867004],[0.8510132431983948],[0.802030622959137],[0.8256514072418213],[0.8493719100952148],[0.8022711873054504],[0.8241605758666992]
2641,,[0.8557790517807007],[0.8159394264221191],[0.04334072396159172],[0.8664169311523438],[0.8340597152709961],[0.04354694113135338],[0.8713001608848572],[0.8393830060958862],[0.04386548325419426],[0.8635393977165222],[0.8207142949104309],[0.0433611124753952],[0.8701247572898865],[0.8274856805801392],[0.880735456943512],[0.877059817314148],[0.8301020860671997],[0.8835429549217224],[0.8866698741912842],[0.8343205451965332],[0.8895147442817688],[0.8624826669692993],[0.8241097331047058],[0.8735076785087585]
2642,,[0.1388159841299057],[0.7562952637672424],[0.13401390612125397],[0.13670054078102112],[0.7680985927581787],[0.1334996223449707],[0.1371200978755951],[0.7868654131889343],[0.13643679022789001],[0.7553966045379639],[0.20302994549274445],[0.13711369037628174],[0.7838816046714783],[0.7446923851966858],[0.7839400172233582],[0.7847676873207092],[0.744480311870575],[0.783771276473999],[0.7889237403869629],[0.7471693754196167],[0.7878825664520264],[0.7799651622772217],[0.7447568774223328],[0.7860233187675476]
2643,,[0.021472958847880363],[0.051089923828840256],[0.05763692036271095],[0.7956405878067017],[0.7709240913391113],[0.0576438345015049],[0.7719415426254272],[0.7389765977859497],[0.05785776302218437],[0.7679356336593628],[0.7332950830459595],[0.05723622441291809],[0.7657022476196289],[0.7336953282356262],[0.782815158367157],[0.7671818733215332],[0.735711395740509],[0.7833121418952942],[0.7583519816398621],[0.7276363968849182],[0.774324893951416],[0.7555774450302124],[0.7229334712028503],[0.772577166557312]
2644,,[0.7946901917457581],[0.754892110824585],[0.06394247710704803],[0.8192667961120605],[0.7744173407554626],[0.06403294950723648],[0.7798358201980591],[0.7491434812545776],[0.06567014008760452],[0.7659987211227417],[0.6080171465873718],[0.0637427568435669],[0.7990540862083435],[0.7577727437019348],[0.80104660987854],[0.8009120225906372],[0.7577727437019348],[0.8026522994041443],[0.8005678057670593],[0.7568569183349609],[0.8023576140403748],[0.7956417202949524],[0.7571502923965454],[0.8022979497909546]
2645,,[0.24350784718990326],[0.25470566749572754],[0.18685902655124664],[0.24103260040283203],[0.25472691655158997],[0.19608049094676971],[0.24089370667934418],[0.25111591815948486],[0.24129363894462585],[0.24219836294651031],[0.2583695948123932],[0.15410259366035461],[0.8618587851524353],[0.5085576176643372],[0.7518172264099121],[0.8567246794700623],[0.509310781955719],[0.753455400466919],[0.7984082698822021],[0.4308205246925354],[0.7459549307823181],[0.672674298286438],[0.3880850672721863],[0.5246012806892395]
2646,,[0.24660927057266235],[0.07947517931461334],[0.3718299865722656],[0.36740103363990784],[0.12095875293016434],[0.36605173349380493],[0.37079930305480957],[0.41226622462272644],[0.3670518398284912],[0.504188597202301],[0.041487615555524826],[0.370617538690567],[0.34971925616264343],[0.01624196209013462],[0.27862170338630676],[0.3849697411060333],[0.021559691056609154],[0.4017222225666046],[0.162920281291008],[0.012997868470847607],[0.015437002293765545],[0.16376888751983643],[0.005958777852356434],[0.15273408591747284]
2647,,[0.1545955389738083],[0.7235352993011475],[0.15424886345863342],[0.15471041202545166],[0.722007155418396],[0.15418864786624908],[0.41123470664024353],[0.7410318851470947],[0.15434187650680542],[0.7231670022010803],[0.5864578485488892],[0.1541764885187149],[0.7423422336578369],[0.6975867748260498],[0.7357252836227417],[0.743908703327179],[0.6966468095779419],[0.7349924445152283],[0.7436954975128174],[0.6846967339515686],[0.7343645095825195],[0.7349160313606262],[0.6556046009063721],[0.7029195427894592]
