,image,dice_rc_0,dice_rc_1,dice_rc_2,dice_rs3_0,dice_rs3_1,dice_rs3_2,dice_rs5_0,dice_rs5_1,dice_rs5_2,dice_cp_0,dice_cp_1,dice_cp_2,dice_bb_0,dice_bb_1,dice_bb_2,dice_bbs_05_0,dice_bbs_05_1,dice_bbs_05_2,dice_bbs_1_0,dice_bbs_1_1,dice_bbs_1_2,dice_bbs_2_0,dice_bbs_2_1,dice_bbs_2_2
529,,[0.07170082628726959],[0.007922138087451458],[0.34714260697364807],[0.5698409080505371],[0.8292669653892517],[0.35104313492774963],[0.5181009769439697],[0.5568697452545166],[0.34944191575050354],[0.5804426074028015],[0.822971761226654],[0.3509806990623474],[0.8599249124526978],[0.8300868272781372],[0.8401914238929749],[0.8603322505950928],[0.8291089534759521],[0.8406621217727661],[0.796814501285553],[0.6989172101020813],[0.3121049702167511],[0.826894998550415],[0.8014379739761353],[0.8120023012161255]
530,,[0.8324211239814758],[0.2529374063014984],[0.6081724166870117],[0.8528061509132385],[0.6999298930168152],[0.3668214976787567],[0.8547600507736206],[0.7242099046707153],[0.38319289684295654],[0.8392447829246521],[0.6648447513580322],[0.6595034003257751],[0.8606464266777039],[0.8299494385719299],[0.8378395438194275],[0.8623791933059692],[0.8310242891311646],[0.8393802046775818],[0.8538575172424316],[0.8278816938400269],[0.8353660106658936],[0.8002945780754089],[0.7206303477287292],[0.745100736618042]
531,,[0.6183708310127258],[0.7871397733688354],[0.3079812824726105],[0.46016913652420044],[0.7951053380966187],[0.22791284322738647],[0.44308599829673767],[0.8618994951248169],[0.27226078510284424],[0.7882752418518066],[0.06436902284622192],[0.4382743835449219],[0.8803889155387878],[0.8058501482009888],[0.8474465608596802],[0.880222737789154],[0.7971693277359009],[0.8373422026634216],[0.8732816576957703],[0.7938149571418762],[0.8323869109153748],[0.7927641272544861],[0.7919427752494812],[0.8152748942375183]
532,,[0.8876197934150696],[0.3011229634284973],[0.13678638637065887],[0.871161162853241],[0.8415619134902954],[0.289305180311203],[0.898129940032959],[0.8678854703903198],[0.28849029541015625],[0.8711068630218506],[0.6964716911315918],[0.28938326239585876],[0.9044815301895142],[0.8620263934135437],[0.8712183833122253],[0.9024348855018616],[0.861565351486206],[0.8717893362045288],[0.8999667763710022],[0.8641124963760376],[0.8891893029212952],[0.8628983497619629],[0.7066086530685425],[0.8334710001945496]
533,,[0.8735024333000183],[0.8223479986190796],[0.47563934326171875],[0.7700579166412354],[0.8486655354499817],[0.47693735361099243],[0.7191216349601746],[0.8697038888931274],[0.4763226807117462],[0.8533017635345459],[0.7044009566307068],[0.4820330739021301],[0.8820399641990662],[0.8523048162460327],[0.8593314290046692],[0.8801095485687256],[0.8493699431419373],[0.8572546243667603],[0.839909017086029],[0.8602778911590576],[0.8426774144172668],[0.7904123067855835],[0.5206473469734192],[0.0847194716334343]
534,,[0.24678827822208405],[0.1330326944589615],[0.21929532289505005],[0.22123539447784424],[0.18586696684360504],[0.21909476816654205],[0.2203712910413742],[0.19254517555236816],[0.21921858191490173],[0.06380219757556915],[0.05530479922890663],[0.21972054243087769],[0.849460244178772],[0.1583402305841446],[0.7121379375457764],[0.8544497489929199],[0.2350948005914688],[0.6945114135742188],[0.787076473236084],[0.16878265142440796],[0.6279940009117126],[0.14392051100730896],[0.0672990009188652],[0.4425831735134125]
535,,[0.7217854857444763],[0.131911039352417],[0.2374485284090042],[0.6313554644584656],[0.7913124561309814],[0.23709313571453094],[0.7960515022277832],[0.7335404753684998],[0.23737378418445587],[0.7389174699783325],[0.6655410528182983],[0.2372162789106369],[0.8097721338272095],[0.7561973929405212],[0.7612573504447937],[0.803814172744751],[0.7521274089813232],[0.7599185705184937],[0.8193436861038208],[0.7626239061355591],[0.7617294788360596],[0.8228663206100464],[0.7679502367973328],[0.7631471157073975]
536,,[0.7155017852783203],[0.171133354306221],[0.6303513050079346],[0.8248104453086853],[0.6768025755882263],[0.031799063086509705],[0.8270531296730042],[0.7281553149223328],[0.04616770148277283],[0.7506991028785706],[0.6607393622398376],[0.03195156529545784],[0.8168073892593384],[0.7330851554870605],[0.8071015477180481],[0.8174493908882141],[0.7332894802093506],[0.8082466125488281],[0.8205329179763794],[0.7746058702468872],[0.8065351843833923],[0.81640625],[0.7304499745368958],[0.8047218918800354]
537,,[0.8921218514442444],[0.7205060124397278],[0.5175665616989136],[0.6009509563446045],[0.8683776259422302],[0.37459197640419006],[0.6081833243370056],[0.8694706559181213],[0.5233398079872131],[0.873016893863678],[0.7990695834159851],[0.5193460583686829],[0.9087414145469666],[0.8775380849838257],[0.8886508941650391],[0.9035747647285461],[0.8502213358879089],[0.8843525052070618],[0.9069111347198486],[0.8582450151443481],[0.8861697912216187],[0.8395949006080627],[0.8900583386421204],[0.8850598931312561]
538,,[0.8716380596160889],[0.766417384147644],[0.16930894553661346],[0.8797295093536377],[0.7916141748428345],[0.16956323385238647],[0.6786739826202393],[0.8756834268569946],[0.16931785643100739],[0.8797198534011841],[0.8049102425575256],[0.16931849718093872],[0.9036623239517212],[0.8700246810913086],[0.8837083578109741],[0.9015226364135742],[0.8671832084655762],[0.8816632032394409],[0.8813768029212952],[0.8197745680809021],[0.8549286723136902],[0.897220253944397],[0.8616729974746704],[0.8769028782844543]
539,,[0.07946769893169403],[0.09625416994094849],[0.07932654023170471],[0.19217507541179657],[0.5336790680885315],[0.07945193350315094],[0.09672974795103073],[0.5841749906539917],[0.07957976311445236],[0.08803614228963852],[0.4819977581501007],[0.07938030362129211],[0.8146998882293701],[0.5634391903877258],[0.6680163741111755],[0.8393130302429199],[0.5505650639533997],[0.7044748663902283],[0.8120808005332947],[0.5578749775886536],[0.6889165639877319],[0.7560304403305054],[0.5326166152954102],[0.6192122101783752]
540,,[0.8478915691375732],[0.1952129304409027],[0.04846511781215668],[0.8655423521995544],[0.8463428616523743],[0.04730302467942238],[0.8646005988121033],[0.8433734774589539],[0.05490813031792641],[0.8495309352874756],[0.1909954845905304],[0.04882581904530525],[0.880261242389679],[0.8529219031333923],[0.8671444058418274],[0.8800217509269714],[0.8523056507110596],[0.867713212966919],[0.8833423852920532],[0.8557835817337036],[0.8700036406517029],[0.8171071410179138],[0.610652506351471],[0.7487022876739502]
541,,[0.8366338610649109],[0.07164814323186874],[0.020255038514733315],[0.8737151622772217],[0.810616672039032],[0.07005856931209564],[0.8629735708236694],[0.8117533326148987],[0.0708574578166008],[0.814051628112793],[0.7932141423225403],[0.07080569118261337],[0.8507902026176453],[0.798082172870636],[0.8120408654212952],[0.836988627910614],[0.7986786961555481],[0.8140782713890076],[0.8104246258735657],[0.803123414516449],[0.826128363609314],[0.7686405777931213],[0.743175208568573],[0.7601439952850342]
542,,[0.6575968265533447],[0.867374837398529],[0.24139101803302765],[0.657418966293335],[0.8704580068588257],[0.24158306419849396],[0.6563282608985901],[0.752919614315033],[0.2417982816696167],[0.6575994491577148],[0.7094006538391113],[0.24132750928401947],[0.9083685278892517],[0.8510443568229675],[0.865344762802124],[0.8903645277023315],[0.847161054611206],[0.8579736948013306],[0.8755313754081726],[0.8213475942611694],[0.8419620990753174],[0.8111007809638977],[0.8620409965515137],[0.8446025252342224]
543,,[0.7350091338157654],[0.8658124804496765],[0.30337297916412354],[0.7271248698234558],[0.8642305731773376],[0.30570968985557556],[0.7259071469306946],[0.8609294891357422],[0.3532351553440094],[0.741992712020874],[0.8611749410629272],[0.30332863330841064],[0.894192099571228],[0.8781455755233765],[0.8875682353973389],[0.8877689838409424],[0.8784822225570679],[0.881587564945221],[0.8921595215797424],[0.8270271420478821],[0.858383297920227],[0.836139976978302],[0.8652646541595459],[0.8596423864364624]
544,,[0.5226481556892395],[0.8406316041946411],[0.5152857303619385],[0.852188229560852],[0.8345993161201477],[0.5234764218330383],[0.5222508907318115],[0.8449453711509705],[0.5129805207252502],[0.8487779498100281],[0.7865127325057983],[0.5228253602981567],[0.8616400957107544],[0.8423004150390625],[0.8546152710914612],[0.860083281993866],[0.8444173336029053],[0.8546152710914612],[0.8573519587516785],[0.8404290080070496],[0.8538486361503601],[0.8441308736801147],[0.8149040937423706],[0.8374069333076477]
545,,[0.4247300922870636],[0.8801459074020386],[0.19860109686851501],[0.4384872615337372],[0.8294681906700134],[0.19788773357868195],[0.44756343960762024],[0.880799412727356],[0.20815929770469666],[0.5449452996253967],[0.37033507227897644],[0.19950434565544128],[0.9154767394065857],[0.8803395628929138],[0.8984172940254211],[0.8878851532936096],[0.8803237080574036],[0.8910902142524719],[0.824187159538269],[0.790303111076355],[0.7967580556869507],[0.8407763838768005],[0.8855380415916443],[0.8864045143127441]
