,image,dice_rc_0,dice_rc_1,dice_rc_2,dice_rs3_0,dice_rs3_1,dice_rs3_2,dice_rs5_0,dice_rs5_1,dice_rs5_2,dice_cp_0,dice_cp_1,dice_cp_2,dice_bb_0,dice_bb_1,dice_bb_2,dice_bbs_05_0,dice_bbs_05_1,dice_bbs_05_2,dice_bbs_1_0,dice_bbs_1_1,dice_bbs_1_2,dice_bbs_2_0,dice_bbs_2_1,dice_bbs_2_2
10,,[0.4291318356990814],[0.8785924315452576],[0.8532677292823792],[0.8302861452102661],[0.8812763094902039],[0.8584538698196411],[0.8982685804367065],[0.8833247423171997],[0.8662245869636536],[0.4253031015396118],[0.8765878081321716],[0.7989744544029236],[0.8972373604774475],[0.8848166465759277],[0.8723512291908264],[0.8992502689361572],[0.8855955600738525],[0.8714005351066589],[0.8979513049125671],[0.8848166465759277],[0.8718069195747375],[0.9070577025413513],[0.8855811953544617],[0.8660818338394165]
11,,[0.4443865120410919],[0.6927909851074219],[0.9344677925109863],[0.44527140259742737],[0.8550385236740112],[0.9367322325706482],[0.4457443058490753],[0.9247806668281555],[0.9228836894035339],[0.44411101937294006],[0.9150857329368591],[0.0034407470375299454],[0.9411950707435608],[0.9457263350486755],[0.9330698251724243],[0.9399834275245667],[0.9398604035377502],[0.9240173697471619],[0.8256164789199829],[0.9335580468177795],[0.9121783375740051],[0.6055504679679871],[0.1360192745923996],[0.008648179471492767]
12,,[0.3765023946762085],[0.7874417901039124],[0.7507790923118591],[0.3760994076728821],[0.7881781458854675],[0.7554149627685547],[0.37878191471099854],[0.876316249370575],[0.8243828415870667],[0.37584519386291504],[0.7824403047561646],[0.7399154901504517],[0.9118207693099976],[0.8021543622016907],[0.7871659398078918],[0.9256876707077026],[0.8042756915092468],[0.7922838926315308],[0.9178882241249084],[0.8026763796806335],[0.7877257466316223],[0.8139691352844238],[0.7460865378379822],[0.22981160879135132]
13,,[0.3479017913341522],[0.9367977380752563],[0.9112951755523682],[0.6281597018241882],[0.938720703125],[0.9176986813545227],[0.949427604675293],[0.9375559687614441],[0.9142299890518188],[0.3477332890033722],[0.9365759491920471],[0.9106481075286865],[0.948530375957489],[0.9392693042755127],[0.9230931997299194],[0.947451651096344],[0.938116192817688],[0.9218297600746155],[0.9514703750610352],[0.9426348805427551],[0.9298787713050842],[0.9253527522087097],[0.8802204728126526],[0.6345430016517639]
14,,[0.276106595993042],[0.9050414562225342],[0.164188414812088],[0.2791289687156677],[0.9078200459480286],[0.8730979561805725],[0.31266653537750244],[0.9104848504066467],[0.8853575587272644],[0.27795466780662537],[0.9133533239364624],[0.8556708693504333],[0.9430131912231445],[0.9121077656745911],[0.9010181427001953],[0.9440332651138306],[0.9127045273780823],[0.9026151895523071],[0.9311400651931763],[0.9076933264732361],[0.8939628601074219],[0.8047046065330505],[0.7827513217926025],[0.03333034738898277]
15,,[0.3879512548446655],[0.39914578199386597],[0.8441720008850098],[0.39218658208847046],[0.8410590887069702],[0.7399076223373413],[0.39081546664237976],[0.5106064677238464],[0.8949878215789795],[0.38913634419441223],[0.8046678900718689],[0.5710662603378296],[0.9457168579101562],[0.8553970456123352],[0.806543231010437],[0.9390172958374023],[0.8623446822166443],[0.821594774723053],[0.9287333488464355],[0.8355422019958496],[0.7395835518836975],[0.8584495186805725],[0.8445927500724792],[0.7901798486709595]
16,,[0.4940933585166931],[0.9018088579177856],[0.8615245819091797],[0.49660584330558777],[0.9090182185173035],[0.8966032862663269],[0.7524969577789307],[0.8985284566879272],[0.8833706378936768],[0.4956790804862976],[0.8912051916122437],[0.869613766670227],[0.9247158765792847],[0.899135947227478],[0.8882607817649841],[0.9187177419662476],[0.8956250548362732],[0.886537492275238],[0.9241109490394592],[0.8983339667320251],[0.8867282271385193],[0.9157364964485168],[0.8914573192596436],[0.8818783760070801]
17,,[0.24558116495609283],[0.2090647965669632],[0.31035298109054565],[0.5279471278190613],[0.7587835788726807],[0.7290617227554321],[0.6112028956413269],[0.816758394241333],[0.7521616816520691],[0.40453189611434937],[0.7537445425987244],[0.19373318552970886],[0.9012958407402039],[0.8400151133537292],[0.7689136862754822],[0.9197162985801697],[0.7773968577384949],[0.7558107376098633],[0.8253009915351868],[0.7597675919532776],[0.7482138872146606],[0.8993839621543884],[0.7685782313346863],[0.7396201491355896]
18,,[0.41227903962135315],[0.8062113523483276],[0.20863725244998932],[0.41491469740867615],[0.5614120364189148],[0.9244974851608276],[0.41811856627464294],[0.8997231721878052],[0.858684778213501],[0.4132765829563141],[0.8976007103919983],[0.8079153895378113],[0.8307216763496399],[0.9295580387115479],[0.9008020162582397],[0.8792732357978821],[0.920187771320343],[0.8916457891464233],[0.6325520873069763],[0.938653290271759],[0.01802186667919159],[0.5588099956512451],[0.1532452404499054],[0.022143181413412094]
19,,[0.5903591513633728],[0.816780149936676],[0.06437724083662033],[0.5928622484207153],[0.8608366847038269],[0.8473823666572571],[0.5958961248397827],[0.8718750476837158],[0.82880038022995],[0.590528666973114],[0.8108187913894653],[0.685824990272522],[0.8797195553779602],[0.8135342001914978],[0.7736214995384216],[0.8852722644805908],[0.8163489699363708],[0.776836633682251],[0.8580872416496277],[0.8034049272537231],[0.7643989324569702],[0.8029709458351135],[0.8390320539474487],[0.06244171783328056]
20,,[0.3098781108856201],[0.8532623052597046],[0.8193992376327515],[0.31053614616394043],[0.8666390776634216],[0.8281780481338501],[0.3125215172767639],[0.8570804595947266],[0.8325432538986206],[0.30847612023353577],[0.8448069095611572],[0.8162091970443726],[0.8901919722557068],[0.846547544002533],[0.8355347514152527],[0.8996134996414185],[0.852114200592041],[0.833855152130127],[0.896109938621521],[0.8474448323249817],[0.8304791450500488],[0.8622363209724426],[0.8188312649726868],[0.7983162999153137]
21,,[0.5083169937133789],[0.5145832300186157],[0.20519691705703735],[0.5099522471427917],[0.5257654786109924],[0.7062942385673523],[0.5101788640022278],[0.5174044966697693],[0.5676790475845337],[0.5081916451454163],[0.5213995575904846],[0.4435300827026367],[0.8399162888526917],[0.7830224633216858],[0.5116855502128601],[0.8614426255226135],[0.7954298853874207],[0.49592268466949463],[0.7850549221038818],[0.7543614506721497],[0.713567852973938],[0.8179276585578918],[0.6793596148490906],[0.34346842765808105]
