,image,dice_rc_0,dice_rc_1,dice_rc_2,dice_rs3_0,dice_rs3_1,dice_rs3_2,dice_rs5_0,dice_rs5_1,dice_rs5_2,dice_cp_0,dice_cp_1,dice_cp_2,dice_bb_0,dice_bb_1,dice_bb_2,dice_bbs_05_0,dice_bbs_05_1,dice_bbs_05_2,dice_bbs_1_0,dice_bbs_1_1,dice_bbs_1_2,dice_bbs_2_0,dice_bbs_2_1,dice_bbs_2_2
32,,[0.5167416930198669],[0.954481303691864],[0.7411230206489563],[0.707923173904419],[0.9527283310890198],[0.7430765628814697],[0.9468074440956116],[0.9529966115951538],[0.744692862033844],[0.30750390887260437],[0.9525776505470276],[0.7426987290382385],[0.9509207010269165],[0.9570944309234619],[0.9614980220794678],[0.9518813490867615],[0.9574347734451294],[0.9644965529441833],[0.9534275531768799],[0.9584112167358398],[0.9113490581512451],[0.06031971797347069],[0.9610602259635925],[0.8696556687355042]
33,,[0.7887867093086243],[0.8123334050178528],[0.6081959009170532],[0.7972020506858826],[0.8188679814338684],[0.6093608140945435],[0.09125552326440811],[0.8233708143234253],[0.6097281575202942],[0.0016156283672899008],[0.0026520879473537207],[0.8049173951148987],[0.8005657196044922],[0.8164486289024353],[0.8272527456283569],[0.8009569048881531],[0.8162057399749756],[0.8263030648231506],[0.8004128932952881],[0.8169474601745605],[0.8293502926826477],[0.8012799024581909],[0.8220575451850891],[0.8161981105804443]
34,,[0.11284366250038147],[0.8179208636283875],[0.6944388151168823],[0.3038112223148346],[0.8195724487304688],[0.6917452216148376],[0.4697563946247101],[0.8205925226211548],[0.8280177712440491],[0.2926335334777832],[0.8157637715339661],[0.6947854161262512],[0.8159218430519104],[0.8265737295150757],[0.8376215696334839],[0.054117485880851746],[0.8304582238197327],[0.8312208652496338],[0.8113072514533997],[0.8206669688224792],[0.831794261932373],[0.2411046177148819],[0.823825478553772],[0.8427760601043701]
35,,[0.9254326820373535],[0.9445677399635315],[0.3669012784957886],[0.8996744155883789],[0.9440218210220337],[0.9506280422210693],[0.9217093586921692],[0.9442147612571716],[0.9585551023483276],[0.9086387157440186],[0.9433415532112122],[0.3671659827232361],[0.9362223744392395],[0.9448286890983582],[0.9526211619377136],[0.9356164932250977],[0.9438778162002563],[0.9523158669471741],[0.9361636638641357],[0.944339394569397],[0.9532968401908875],[0.034155458211898804],[0.7596397995948792],[0.7844616770744324]
36,,[0.6366062164306641],[0.6622318625450134],[0.35738927125930786],[0.34362587332725525],[0.35663917660713196],[0.43082690238952637],[0.303786039352417],[0.3510817587375641],[0.4301292300224304],[0.001025654491968453],[0.6562401652336121],[0.43159887194633484],[0.6269435882568359],[0.7020712494850159],[0.8198715448379517],[0.6461859941482544],[0.7110574245452881],[0.7967778444290161],[0.6546817421913147],[0.710144579410553],[0.77768474817276],[0.5706356763839722],[0.8028250336647034],[0.8320224285125732]
37,,[0.8933290243148804],[0.9119974374771118],[0.13102751970291138],[0.8050543069839478],[0.8997923731803894],[0.1315791755914688],[0.8260470628738403],[0.9009538292884827],[0.3173905313014984],[0.6953416466712952],[0.8997358083724976],[0.13162636756896973],[0.8924747109413147],[0.9033869504928589],[0.9194573760032654],[0.8920940160751343],[0.9029881954193115],[0.9188118577003479],[0.8922243714332581],[0.9031006693840027],[0.919010579586029],[0.8947482109069824],[0.9062417149543762],[0.9215686321258545]
38,,[0.5589797496795654],[0.6784219741821289],[0.505609929561615],[0.7684120535850525],[0.6612102389335632],[0.5026273727416992],[0.688433051109314],[0.7697456479072571],[0.5226628184318542],[0.5801073908805847],[0.6958734393119812],[0.5051624178886414],[0.6712304949760437],[0.7693387269973755],[0.832140326499939],[0.6670047044754028],[0.7698427438735962],[0.8299109935760498],[0.03021077625453472],[0.8014621734619141],[0.8191142082214355],[0.07458220422267914],[0.7201400399208069],[0.7463043332099915]
39,,[0.8430838584899902],[0.9055449962615967],[0.590803325176239],[0.8906350135803223],[0.9099532961845398],[0.5913112163543701],[0.8815958499908447],[0.9043475985527039],[0.8701661825180054],[0.017843160778284073],[0.8957897424697876],[0.5911442041397095],[0.8972046375274658],[0.9142196774482727],[0.9346386790275574],[0.8932952880859375],[0.9108157157897949],[0.9314220547676086],[0.8601036071777344],[0.899444580078125],[0.9117223024368286],[0.8322332501411438],[0.8823988437652588],[0.8284401297569275]
40,,[0.9497856497764587],[0.9648786187171936],[0.6915717720985413],[0.9600054025650024],[0.9687509536743164],[0.711818516254425],[0.9518884420394897],[0.9675101637840271],[0.979034960269928],[0.9232931733131409],[0.9643968939781189],[0.6898375153541565],[0.960810661315918],[0.9677075743675232],[0.9731801152229309],[0.9618620872497559],[0.9685326814651489],[0.9739869832992554],[0.9617810249328613],[0.9687366485595703],[0.9759065508842468],[0.10687161237001419],[0.9543769955635071],[0.96161949634552]
41,,[0.5927072167396545],[0.807658851146698],[0.5791015625],[0.8357948064804077],[0.8960925936698914],[0.5790309906005859],[0.8607865571975708],[0.9169068336486816],[0.5793766379356384],[0.6394926309585571],[0.8017948865890503],[0.5791037082672119],[0.8698885440826416],[0.9258517026901245],[0.9558355808258057],[0.849537193775177],[0.9007933139801025],[0.9368162751197815],[0.8541747331619263],[0.9024505615234375],[0.93364417552948],[0.7630617022514343],[0.8405707478523254],[0.8507184386253357]
